model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,tag,TOTAL_additive_only,secs
FC_early_plate4,0.4693769328347236,0.5070184809821827,0.3182113195061308,0.2500025838813586,0.6341555743019932,0.8819822608975154,0.4059260050092228,0.2341244464230399,0.2698393636136516,0.6268001107676691,0.5605241263761919,0.985330452872352,0.9694666029895354,0.8612103612732722,0.8295642218106747,FC_early_plate4,5,CGD,real,0.4518349117614948,1385.4
FE_early_pert8,0.4365345291055562,0.520422780202235,0.2626118503793245,0.2253503873047588,0.6344886302890445,0.8542041331981619,0.3739641881433811,0.2143628128892763,0.1957707322813119,0.6291555448448294,0.5452078382295585,0.9799598389235792,0.9581884604064488,0.840553112125192,0.8157317353833892,FE_early_pert8,7,BAH,real,0.4271077077299952,1392.5
FE_early_pert8,0.5050362939128771,0.4907597789107307,0.3493494950414488,0.2271853686895808,0.6465776871530753,0.8938668500758821,0.4115223340512935,0.3656245115406293,0.2908833285210709,0.6351311716679517,0.5713531041148391,0.9872756689790304,0.9733845047608348,0.8753182593091778,0.8372958004316551,FE_early_pert8,1,CGD,real,0.4688995203420126,1396.5
FC_early_plate4,0.4627443812854059,0.4911595832195917,0.2876717151900059,0.1614061963230989,0.6432833882274764,0.8619502206740832,0.3774829181018936,0.3221341429933326,0.2141140142973306,0.6150387189103841,0.5446020855188961,0.9804935371766828,0.9588430895486524,0.847199273735461,0.8146715663024507,FC_early_plate4,8,BAH,real,0.4413968256684659,1399.7
FE_early_pert8,0.4644427810787541,0.4918182324914608,0.2882626739568402,0.161982036106482,0.6444242065782679,0.8645922434021484,0.3781343877649119,0.3277954118871699,0.2130296919402245,0.6163118092020001,0.5438906754283507,0.9808904356639911,0.95962355671703,0.8507791499357393,0.8140698732479269,FE_early_pert8,8,BAH,real,0.442570631910854,1400.9
FD_early_pert2,0.4708699209182119,0.507028556411847,0.3242309902195176,0.2507375092785227,0.6308227436631287,0.8850210467487978,0.408206519250063,0.2322049931512504,0.2731301107853194,0.6266997677647574,0.5615416838429365,0.9858048729582232,0.9704071005469396,0.8653551039844334,0.8303256497256293,FD_early_pert2,5,CGD,real,0.456060123009337,1403.1
FB_early_plate1,0.4582744344376832,0.4932470553408336,0.282722272290214,0.1751836282473702,0.6214403195084939,0.8664900937893941,0.3791167996205998,0.3075701244227231,0.1991286571637655,0.6158322079130463,0.5454847733210421,0.9814015533886172,0.9609986344310084,0.8524207049346577,0.8147178456581722,FB_early_plate1,3,BAH,real,0.4417799303271165,1409.2
FD_early_pert2,0.4586020679327836,0.494673191505973,0.2842261140972201,0.1764459857048133,0.617626162084075,0.8658242976159176,0.3802293591033105,0.3062248768622392,0.2012767470715952,0.615059558317412,0.5474717603052867,0.9813181409089514,0.96080833858688,0.8512919235597058,0.8161833115190301,FD_early_pert2,3,BAH,real,0.4428389384382525,1408.3
FC_early_plate4,0.4584146801056393,0.4950128916060492,0.2814167992834486,0.1755082148317593,0.6218324791517557,0.8631666479217959,0.3794886301275399,0.3075148970650923,0.2027486759274563,0.6150058042741058,0.5471179592694969,0.9808989283094188,0.9599582954524556,0.8476951849534307,0.8155969333962401,FC_early_plate4,3,BAH,real,0.4394089300734927,1414.5
FB_early_plate1,0.436231835410547,0.520827689751583,0.2635402603410169,0.2211306087778499,0.632645413891509,0.8546460669449577,0.3739334990834526,0.2146297479045033,0.194640804696549,0.6271478523382414,0.5450070299331529,0.980052997127938,0.9583789246196756,0.8412865667423912,0.8156266213107248,FB_early_plate1,7,BAH,real,0.4276113414086264,1419.0
FC_early_plate4,0.4719111769556969,0.498116685317774,0.3180569162782164,0.2446504015944655,0.6199976712525459,0.8803895280152534,0.4005207468362027,0.2463135466406295,0.2720042474385976,0.6414442399805838,0.5579020365938351,0.984939356730045,0.968217278138414,0.8592255139672499,0.8276840701999232,FC_early_plate4,6,CGD,real,0.4551515490311493,1426.8
FB_early_plate1,0.4710701436889871,0.5071116425775145,0.3243298764943371,0.2461677724630626,0.6343430910227973,0.8858860054197528,0.407895849090698,0.2325532766325548,0.2737035331519462,0.6266445793117996,0.5600632088856369,0.9859534998675102,0.9706813357735524,0.8666957401981037,0.8287288127234825,FB_early_plate1,5,CGD,real,0.4546592241349,1429.9
