model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
instr lam=8,0.4852241168497185,0.473573367202795,0.31979216227044466,0.21852920887196972,0.6308764639045681,0.8829251548686353,0.3910680227317411,0.33051122988402926,0.26870985002662745,0.6307537662964042,0.5590497516256877,0.9854544739994765,0.9698027695539906,0.8644731186648401,0.8300249543288201,instr lam=8,1,CGD,0.46731464841182574,185.3
instr lam=20,0.4386258596042626,0.5064240647911742,0.26937039385496897,0.19183413912771424,0.5994529254532279,0.8500840501416884,0.3712263241487591,0.19122451032282264,0.24357654480495342,0.6106623964417025,0.5555203573801935,0.9826327960211023,0.9635552324081322,0.8270172990424047,0.8243411268108216,instr lam=20,0,CEK,0.4290797466263623,184.4
instr lam=8,0.45545637109379516,0.5012040668458809,0.2945656102815411,0.22884084537955632,0.6190759276266948,0.8736612334941607,0.39039595551541517,0.21809484577331395,0.25187006356222785,0.6162937348512408,0.5500556032775362,0.983839190595569,0.9664753423564559,0.8551697705795641,0.8223162333813013,instr lam=8,5,CGD,0.44485838561049407,194.3
instr lam=8,0.45147878891528725,0.48423289709484474,0.28403939459378286,0.17618893601933772,0.6072932319466615,0.8630440907647757,0.3749567256579422,0.2886673460885573,0.19531721803361135,0.6116164569438475,0.5434446165805606,0.9812625487882974,0.9608388878009188,0.848000183018802,0.8145144258374063,instr lam=8,3,BAH,0.4415271664236606,205.0
instr lam=8,0.431377234154193,0.5142977864265076,0.2646624802714756,0.2007494057918202,0.590839814875005,0.8246204512845678,0.3728769834020115,0.19322723621221105,0.2335717282250659,0.6066905814766906,0.5441009402330403,0.9776815171404826,0.9521756514096427,0.7939657507757849,0.8143627007932861,instr lam=8,2,DHY210,0.42166552607313684,208.7
instr lam=20,0.48590240996991285,0.47441834821018736,0.32002423180111983,0.21823484377541172,0.6304339074343133,0.882618123027992,0.3914503499313233,0.3336591717898808,0.2690217460505333,0.6304430518491433,0.5587141825697285,0.9854123089376277,0.9697071379575609,0.8639984206363499,0.8297553154630365,instr lam=20,1,CGD,0.4670937985501802,190.7
instr lam=20,0.4332140997228957,0.5157356542044641,0.2650490841354917,0.20125421031132626,0.5903233857776626,0.828551185563098,0.3736113341346878,0.19648195407712085,0.23366113906415317,0.6083737338779656,0.544700741211055,0.9778740774966538,0.9530203826835336,0.7986635947096951,0.815823953540587,instr lam=20,2,DHY210,0.42257823599459854,190.8
instr lam=20,0.4515083238205689,0.484445055632367,0.283668764789895,0.17615383115380964,0.6069168272757406,0.862618304449508,0.3748883345711168,0.28967390197891907,0.19512394653782708,0.6113262250515397,0.5434077415876969,0.9812127951208949,0.9607286234911038,0.847381471940229,0.81440731945135,instr lam=20,3,BAH,0.44138141781070395,198.2
instr lam=20,0.4647019001793899,0.4452631576370007,0.2673636873213914,0.20534384583736773,0.603638614725641,0.8609654669314324,0.3534428377956412,0.3309184996170972,0.23973518881944914,0.629940423268444,0.5404663466007887,0.9836982508318669,0.9659086030417344,0.8400783185205823,0.8148106744400471,instr lam=20,4,CEK,0.4606154626261502,168.0
instr lam=20,0.4551768049420064,0.5004588443944139,0.29499672066925203,0.22962187722944363,0.6199220872790591,0.8734351113160181,0.3904225234679026,0.21672988435182824,0.25197642342976934,0.6166617158178958,0.5495343734743603,0.983808275869387,0.9664104240461446,0.8547547898309169,0.8221359010156231,instr lam=20,5,CGD,0.44465881654446165,174.1
instr lam=3 after plate,0.42863111500648676,0.5061506221627854,0.25233284988600857,0.17798804708885232,0.5998330123899801,0.8339465870599461,0.362045786234698,0.1907107948893191,0.22796795397500155,0.6024895004374567,0.5469130243842641,0.979599809923903,0.9574349131037843,0.8092495395925701,0.8218488512101977,instr lam=3 after plate,0,CEK,0.41881386981496216,172.1
instr lam=3 after plate,0.48536377812644266,0.4736549954255335,0.3195119368089636,0.21768548774553398,0.6306983534899191,0.8826511825498295,0.39087177482150753,0.331851676525784,0.2686602245631555,0.6308484710524356,0.5585674117613669,0.9854013958675214,0.969682254663252,0.8641398648154849,0.8299937201378496,instr lam=3 after plate,1,CGD,0.4670705541547651,173.6
instr lam=3 after plate,0.4513252759842709,0.4842406844609282,0.2838990032976147,0.17537428044102543,0.6063206990740222,0.8628410485920388,0.3747318393287502,0.2887529886293114,0.1952566535200758,0.6112722489130136,0.5428990622499354,0.9812135469927411,0.9607638935388226,0.8477549122979388,0.8141215578852363,instr lam=3 after plate,3,BAH,0.44135475531014245,168.6
instr lam=3 after plate,0.45581512818027764,0.4449736399185524,0.25203008732013665,0.19371199270180287,0.6032011616132499,0.8475377368642791,0.34569327819577006,0.3297800703738175,0.22482710545202778,0.6231122947020444,0.5330319324621156,0.9811596612527967,0.9606913019774925,0.8251295959869338,0.8120333820835616,instr lam=3 after plate,4,CEK,0.4517507134061091,176.7
instr lam=3 after plate,0.4262449786796198,0.5151560498527868,0.2531655098842393,0.19074642060029104,0.5900336329780782,0.8206289442489423,0.3669384996079611,0.19559209091233506,0.22072231492911545,0.602096664048922,0.5382403470931753,0.9758666123989874,0.9491683411580751,0.7912042845875165,0.8105269714791657,instr lam=3 after plate,2,DHY210,0.4159743321665443,182.7
source lam=3,0.43210343071423607,0.5051842310369092,0.2610842293985008,0.17839291639265023,0.599712320995207,0.844760099852727,0.365532394082112,0.18770319118342227,0.2304085850657706,0.6052989630730012,0.5523212133204789,0.9817418158319269,0.9617759614841266,0.8202152171499615,0.8292754943858777,source lam=3,0,CEK,0.4230126824747044,171.0
instr lam=3 after plate,0.45509586427605214,0.5004677149488972,0.2944224826625964,0.22907649744130415,0.6192752894126221,0.8734324767336019,0.39008422836611556,0.2173437771167285,0.2515249218813147,0.6163478349066287,0.5495957709506263,0.9837936269783234,0.9663784159373046,0.8549548185500871,0.8222851081872221,instr lam=3 after plate,5,CGD,0.44442862348967155,181.8
