model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
"strain x0.5, pert x0.25",0.4521345774861812,0.4857712755354022,0.2902877929301025,0.18007531469652485,0.5931509837860844,0.8651622001734971,0.3775754171074162,0.27805003874331014,0.20395590163744304,0.6092138970120717,0.547714107945397,0.981483446349878,0.9612671190005804,0.8494940133865888,0.81703019844169,"strain x0.5, pert x0.25",3,BAH,0.4426632543956716,195.5
"strain x0.5, pert x0.5",0.4379204826190434,0.5039061748335042,0.27225170937273657,0.1932304226990392,0.5955231548622921,0.8529578231341333,0.37143877863833696,0.18965339635873568,0.237248226663555,0.6116396279289509,0.5584987187055855,0.9828560053685215,0.9639200232791181,0.8309143529625078,0.8345041733987877,"strain x0.5, pert x0.5",0,CEK,0.4286626966011758,194.4
"strain x0.5, pert x0.5",0.48909098748282476,0.47336751316088005,0.3397070554956433,0.2248088656073909,0.6260185043065839,0.8885200372790342,0.3988796472301304,0.31861062771290943,0.28384440507724984,0.6283289585702838,0.5668633160885015,0.9863625170564039,0.9716680186039236,0.869287624628714,0.8362835485176646,"strain x0.5, pert x0.5",1,CGD,0.4710026475625825,191.0
"strain x0.5, pert x0.5",0.4417415047421025,0.5168316992295593,0.2764678090558604,0.21913880615930859,0.5856599976034276,0.8427071822513094,0.3808504209099532,0.20018252391725952,0.24242289849922805,0.6174867647754172,0.5543540420702618,0.9791760159923223,0.9564391970775925,0.8170754228737094,0.8305637068082128,"strain x0.5, pert x0.5",2,DHY210,0.4328264291808721,195.2
"strain x0.5, pert x0.5",0.4542578869224312,0.48854798252959636,0.2895880845837248,0.17958158873920946,0.6034589951302195,0.8655799994868083,0.3790851542661416,0.28523711277622166,0.20334231399441752,0.612261180591492,0.5485719009051416,0.981515549416213,0.9613180573027951,0.8500030741356265,0.8174450513183332,"strain x0.5, pert x0.5",3,BAH,0.4434583090210192,199.5
"strain x0.5, pert x0.5",0.46196684003581634,0.4488706171409301,0.2682397802083393,0.2088796251891573,0.5993141788402767,0.8624756744628443,0.3554452218382916,0.3218485638272805,0.22959323676926366,0.6301367404921039,0.5461673103031064,0.9838456632058785,0.9660046834919963,0.842588059972103,0.8279471924268806,"strain x0.5, pert x0.5",4,CEK,0.4547861028174234,200.5
"strain x0.5, pert x0.5",0.4626825890227454,0.5015361683756132,0.3111527278129113,0.2443554266461218,0.6151604818810454,0.8797147969652402,0.3989342688466113,0.2212873740150273,0.2642748326297989,0.6198617229994255,0.5581489757827339,0.9848217308047881,0.9685241432350671,0.8600619185145959,0.828461169545598,"strain x0.5, pert x0.5",5,CGD,0.4518177770021901,205.7
"strain x0.5, pert x1",0.44124552675807593,0.5078952890620473,0.2716156972798937,0.19286385462418132,0.6016374263455283,0.8542097765967913,0.37302925606481924,0.19946695081347549,0.23969670538235407,0.6132974053060406,0.5596757130548565,0.9829592356264586,0.9641370882606816,0.8327425110799191,0.8358495503277361,"strain x0.5, pert x1",0,CEK,0.4301808479979642,171.5
"strain x0.5, pert x1",0.49206155209373714,0.4769955423509299,0.3392611010825018,0.224241065079091,0.6341586876926835,0.8890516748751812,0.40070001044584586,0.3288060226077148,0.2841985897244632,0.6308730218570153,0.5677597971020469,0.9864127830609533,0.9717735473698711,0.8700196848622348,0.836617245622949,"strain x0.5, pert x1",1,CGD,0.4711822401287833,165.2
"strain x0.5, pert x1",0.4553549808835504,0.48997016391429554,0.28783023895981974,0.17961188424477326,0.6103421729613017,0.8658484263175689,0.37949566807489804,0.2898349399673531,0.2023241740441227,0.6144523377948323,0.5486864403906743,0.9815246186112148,0.9613205809937121,0.8503640992344664,0.8177068439710186,"strain x0.5, pert x1",3,BAH,0.4439010163987043,167.6
"strain x0.5, pert x1",0.4435098100861329,0.5191729552410693,0.2752805951228561,0.21704300030052673,0.5932231731211444,0.8434345804523877,0.381475562927676,0.20711050994822627,0.24214161085599467,0.619194637030394,0.5536823079970553,0.9792212720364738,0.9565320732157269,0.8181944090741865,0.8290473785674892,"strain x0.5, pert x1",2,DHY210,0.43357903485764016,191.4
