model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,k,seed,strain,n_unseen_rows,secs,variant
k=4.0,0.4391715070668458,0.4847406568205463,0.31977947846473215,0.17584870578147618,0.6065638214515324,0.8161331238750996,0.3878857300940323,0.29077708628155435,0.16218559216593004,0.6105588234230153,0.5465006347303882,0.9762572871222664,0.9486639959105189,0.797784827577923,0.8099135210154903,4.0,3,BAH,3617,244.8,pert_only
k=1.25 (incl booster),0.4525091106821957,0.4847406568205463,0.2927064702807291,0.1750457914136364,0.6065638219817451,0.8600798882998152,0.3780708907895193,0.29077708628155435,0.1978930324405462,0.6102010346017308,0.5444256624051919,0.9809784176972257,0.960102065398509,0.8439918057344842,0.812317558077009,1.25,3,BAH,3617,252.7,incl_booster
k=1.5 (incl booster),0.45302652377374847,0.4847406568205463,0.2999169047942262,0.17419323625624278,0.6065638219817451,0.8580535861654841,0.3805290448065637,0.29077708628155435,0.19933495350251706,0.6097963121403565,0.5456301233632158,0.9807631470148965,0.9596584837930305,0.8415066958154062,0.8128007295183555,1.5,3,BAH,3617,260.7,incl_booster
k=2.0 (incl booster),0.4524849225834421,0.4847406568205463,0.31038108932072805,0.17234602096972693,0.6065638219817451,0.8514842307609379,0.3840073081391936,0.29077708628155435,0.19902492312544673,0.6088487668918188,0.5468194165174783,0.9800355427000641,0.9580889543820965,0.8337303321160232,0.8126983403111662,2.0,3,BAH,3617,268.6,incl_booster
k=2.5 (incl booster),0.4503167782493514,0.4847406568205463,0.31690373176415104,0.1703226872323836,0.6065638219817451,0.8417383922327215,0.3860479794488731,0.29077708628155435,0.1959698997985269,0.6077227003924315,0.5467087537065873,0.9789394256709197,0.9556096032993254,0.8229016129742767,0.8111535097813855,2.5,3,BAH,3617,275.7,incl_booster
k=3.0 (incl booster),0.446961359380017,0.4847406568205463,0.3206352702257197,0.16814158213700903,0.6065638219817451,0.829016334804498,0.387065824514314,0.29077708628155435,0.1914907225520863,0.6064257065657137,0.545910077344788,0.9775095797131362,0.9522204306137969,0.8097868105420767,0.8093209129824932,3.0,3,BAH,3617,282.3,incl_booster
k=4.0 (incl booster),0.4376852085110331,0.4847406568205463,0.322725227916428,0.16338838159288419,0.6065638219817451,0.7953084813785284,0.38711973006727796,0.29077708628155435,0.1810050500365596,0.6033518594988028,0.5430393301000974,0.9737869332808234,0.9427126200304319,0.7792203987695733,0.8048629308414358,4.0,3,BAH,3617,288.8,incl_booster
k=1.0,0.45470294065007705,0.44591680460315186,0.24974029509970455,0.19162292430889286,0.6032702669708156,0.8436635840862388,0.3448997405056482,0.33319086140138354,0.2222268363399711,0.6211816146353635,0.5308717538922002,0.9806560812072806,0.9596089285667346,0.8195421159173771,0.808306253885466,1.0,4,CEK,3602,217.6,pert_only
k=1.25,0.4524172249044555,0.44591680460315186,0.2552946209303268,0.19162292430889286,0.6032702669708156,0.8396193727463878,0.3470957417381535,0.33319086140138354,0.2118145177959127,0.6211816146353635,0.5320035523528784,0.9803638922254012,0.9587814672706667,0.8145578352185727,0.8091422196015308,1.25,4,CEK,3602,224.5,pert_only
k=1.5,0.449742709179745,0.44591680460315186,0.2597873864159894,0.19162292430889286,0.6032702669708156,0.8345191624700722,0.3488720362597097,0.33319086140138354,0.20118215142542628,0.6211816146353635,0.5325620718380967,0.9799860076919656,0.9577071095748686,0.80854363075389,0.8092680271544355,1.5,4,CEK,3602,231.1,pert_only
k=2.0,0.44370429274231526,0.44591680460315186,0.26609876116026204,0.19162292430889286,0.6032702669708156,0.8213183318155417,0.3513673502077703,0.33319086140138354,0.1810387182557991,0.6211816146353635,0.532694228645829,0.9789923888295383,0.9548177045532524,0.7940765650539814,0.8089334511216757,2.0,4,CEK,3602,237.4,pert_only
k=2.5,0.43706734377298173,0.44591680460315186,0.2695745083018711,0.19162292430889286,0.6032702669708156,0.8043510345130267,0.35274154848846334,0.33319086140138354,0.16329350328082207,0.6211816146353635,0.531934306965662,0.9777119559045988,0.9509407135891352,0.777263957511087,0.8080621667094225,2.5,4,CEK,3602,243.4,pert_only
k=3.0,0.42989939692733814,0.44591680460315186,0.27093797047526624,0.19162292430889286,0.6032702669708156,0.7838408055071192,0.35328061744202427,0.33319086140138354,0.14767874118820176,0.6211816146353635,0.5303799896790949,0.9761779318782519,0.946076136801918,0.7589667237599133,0.8062073168077757,3.0,4,CEK,3602,250.3,pert_only
k=4.0,0.4140185216981705,0.44591680460315186,0.26948840755837733,0.19162292430889286,0.6032702669708156,0.7328234684978726,0.3527075070323807,0.33319086140138354,0.12105007111010364,0.6211816146353635,0.52621206549334,0.9724622501351191,0.93338422522072,0.7203329061592816,0.8017701088628535,4.0,4,CEK,3602,256.9,pert_only
k=1.25 (incl booster),0.45237014617230764,0.44591680460315186,0.25604288017472093,0.19118882645838856,0.603270266108988,0.8387234490985833,0.34733407583309,0.33319086140138354,0.21232080536461723,0.6209337761178277,0.5319245285867104,0.9803034490701865,0.9585733024847116,0.8135371214446123,0.8089800945879203,1.25,4,CEK,3602,263.6,incl_booster
k=1.5 (incl booster),0.4496019725751835,0.44591680460315186,0.26104933012627846,0.1907292613563004,0.603270266108988,0.8324803229729235,0.34925258764925604,0.33319086140138354,0.20232102740616684,0.6206650022657676,0.532477661603958,0.9798481879596722,0.9572269824556575,0.8063197956170445,0.8092977487658783,1.5,4,CEK,3602,269.8,incl_booster
k=2.0 (incl booster),0.4432944446995592,0.44591680460315186,0.26794611879429625,0.18973549436891624,0.603270266108988,0.816309839650506,0.3518477145635568,0.33319086140138354,0.1840312375749334,0.6200654304376537,0.5323917057908015,0.9786573885335621,0.9536022605902934,0.789119513941163,0.8089411099184658,2.0,4,CEK,3602,275.7,incl_booster
k=2.5 (incl booster),0.4362396894324971,0.44591680460315186,0.27169498614766446,0.18864554229079078,0.603270266108988,0.7955315933466128,0.35318551365228423,0.33319086140138354,0.16849838714858054,0.6193845689068457,0.5312137149885224,0.9771351834663563,0.9487347628127691,0.7694076084023802,0.8075499532095824,2.5,4,CEK,3602,281.3,incl_booster
