model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,tag,TOTAL_additive_only,secs
S_strain_x_medium_x0.25,0.4664616234762312,0.4957789548846643,0.3051494538610019,0.2397703219002175,0.6177489319904582,0.8784247753553582,0.393573250079415,0.2398820142562997,0.2638828765790794,0.6392262388941903,0.55415507657622,0.9843745142903692,0.9671937390514764,0.8588525812507553,0.8264807453787535,S_strain_x_medium_x0.25,6,CGD,cheap,0.4535601270963755,191.2
S_strain_x_medium_x0.25,0.464601615241447,0.5052203596700139,0.3073123324853003,0.2392271953172565,0.6320363958322075,0.8800571798838459,0.3992978679524723,0.229007940881749,0.2638686438435155,0.623283005610934,0.5572418954082683,0.9847854041737096,0.9684538306425494,0.8609420943034867,0.8284530806256555,S_strain_x_medium_x0.25,5,CGD,cheap,0.4504811015865897,199.4
S_strain_x_medium_x4,0.4967165269584889,0.4846005482866511,0.334892154808274,0.223804612719248,0.642081666614797,0.8897347608543582,0.4028013356421558,0.3486176574207555,0.2831015501945314,0.6332327400355409,0.5680425070093373,0.9864794370549096,0.9719001950188376,0.8710263870094828,0.8368867742550189,S_strain_x_medium_x4,1,CGD,cheap,0.4669068527075278,184.0
S_strain_x_medium_x0.25,0.4621526570205314,0.4897339647154478,0.2895256287699216,0.163808572435152,0.6417791109236559,0.8642739200961311,0.3778294480512555,0.3181305783154377,0.2116120288541866,0.6163346230026625,0.5451705450860035,0.9810257566992114,0.9599755438269794,0.8496329410857307,0.8158557242087708,S_strain_x_medium_x0.25,8,BAH,cheap,0.4444416483320745,187.9
S_strain_x_medium_x4,0.4576266061161235,0.4931664814015854,0.2823709487126542,0.1782811652992501,0.6193684726823651,0.8662019113977427,0.3792831086888609,0.3033748188763781,0.1994585576534546,0.6165075228402782,0.5469603814873074,0.9814913540188482,0.9612101486576086,0.8512397453550175,0.8164074521842697,S_strain_x_medium_x4,3,BAH,cheap,0.4412879590233589,189.3
S_strain_x_medium_x4,0.4660464295041596,0.4948673161563744,0.3053434013653995,0.2384156176923417,0.616669132876726,0.8788079034892222,0.3930432379521404,0.2385042298819877,0.2638183246759378,0.6384997118541338,0.5541911444256311,0.9844182853116666,0.9672779184309824,0.8594956554595623,0.8269531270401022,S_strain_x_medium_x4,6,CGD,cheap,0.452870313072963,192.6
S_strain_x_medium_x4,0.4358355609858229,0.5192406774893432,0.2644270098362811,0.224554864137425,0.6312674594569729,0.8546072944745848,0.3740900187250993,0.2111548176006087,0.1950141301959884,0.6282583180248197,0.5466395209565934,0.9802502699245236,0.958813962972698,0.8399836369373618,0.817671379703401,S_strain_x_medium_x4,7,BAH,cheap,0.4292240411718683,189.5
S_strain_x_medium_x0.25,0.497232176706139,0.4861743202513508,0.3343038722792629,0.2229687105413453,0.6433080421710075,0.8892848429643225,0.403223143131434,0.3518907022155886,0.282356523875344,0.6331766856129121,0.568046171018765,0.9864121200240468,0.971759578311576,0.8704547956071358,0.8371586420372003,S_strain_x_medium_x0.25,1,CGD,cheap,0.4683973941053403,219.4
S_strain_x_medium_x4,0.4651477057256202,0.5053865407487812,0.3077114002001437,0.2412969582351211,0.6320812113258486,0.8805841427861081,0.3998021230618396,0.2297075562159052,0.2641916271663841,0.6239341571240435,0.5581418802815289,0.9848687056311614,0.96861707231248,0.8615829873699411,0.8294180216404619,S_strain_x_medium_x4,5,CGD,cheap,0.4498846153071951,201.8
S_strain_x_temp_x0.25,0.497252607072576,0.485918903617844,0.3346119255764692,0.2232466606818549,0.6422195794631902,0.8894821512825595,0.4031984592028942,0.351711443320292,0.2827088579116839,0.632770090261517,0.5679098548558746,0.9864348603384278,0.9718132717394448,0.870716665573731,0.8367877564262862,S_strain_x_temp_x0.25,1,CGD,cheap,0.468073501740075,156.0
