model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
scale 1.15,0.4257122554750363,0.5043365616532287,0.25030494392673397,0.17620167490892377,0.5978324753767701,0.828593152227619,0.36012928713541403,0.1893834755544112,0.22454632092550425,0.5997357832095069,0.5440353125745034,0.9789793207259632,0.9560138225201638,0.802042893039276,0.8175539662339902,scale 1.15,0,CEK,231.3
scale 1.15,0.45395573272729606,0.4449172969311775,0.25026602052707353,0.19134763057704607,0.6018048066020145,0.843108457557862,0.34456890130935464,0.33052444371124723,0.2225346506083979,0.6205604205544857,0.5304790993801474,0.9806197972037578,0.9594847135510733,0.8188931290985921,0.8080301076716551,scale 1.15,4,CEK,189.8
scale 1.15,0.4545809869035132,0.49866510981159223,0.2959164316461033,0.22861435423987417,0.6188015049354207,0.8716340928747311,0.3898541292250848,0.21530749471144167,0.25365414437877876,0.6157681320590831,0.5484298999668665,0.9836060428949337,0.9658574746389083,0.8522800236608546,0.8200946632928661,scale 1.15,5,CGD,204.7
leaves 127,0.42696619954546466,0.5058079321883754,0.24987473910572916,0.17597669319114084,0.6001750735794925,0.8295182102974479,0.3606258565652795,0.1922883512552606,0.22598670152796682,0.6004083394035491,0.5442049769530949,0.9790288569926344,0.9562014462315513,0.8031219975638765,0.8175196492670457,leaves 127,0,CEK,225.2
leaves 127,0.4514596052328719,0.48457674270651235,0.2837959313692933,0.17586115663264848,0.6064958764316521,0.8611523075215723,0.37492289857417677,0.2915136171433627,0.1950188588705472,0.610636432669662,0.542565612305299,0.9810994155688435,0.9603241676022533,0.8451893453063432,0.8115446456653133,leaves 127,3,BAH,213.1
leaves 127,0.48375703829304073,0.4721800928830731,0.3192636396114812,0.2179949818128538,0.6302105929036538,0.8812566352658704,0.39015676029050417,0.3272779421680406,0.26821220997962836,0.630189214988214,0.5569913847777078,0.9852567898245567,0.9692841359001682,0.8620402199171839,0.8264892367146874,leaves 127,1,CGD,226.4
leaves 127,0.42356947958026714,0.5130214033574035,0.2514706866611698,0.1880679954195662,0.5897941396623482,0.8164363437994626,0.3650564393229834,0.1921364817279442,0.2194128173844779,0.5991979520774374,0.535768919188012,0.9752102458233854,0.9478993124152557,0.7850229660179476,0.8076140854259192,leaves 127,2,DHY210,229.3
leaves 127,0.4533294312750403,0.44433929747355727,0.24982850234009288,0.1916986774367316,0.6034451732305209,0.8433455647849181,0.34431373645130947,0.32831877950053134,0.22134858076958364,0.6213410390522967,0.5302861649195333,0.9806346009862096,0.9595580001558787,0.8192794469577952,0.8074625645094665,leaves 127,4,CEK,230.4
leaves 127,0.455182612343202,0.5006412649181702,0.294508843158168,0.22911202345061213,0.6198317771532564,0.8720981464095213,0.3902291895447548,0.21908994516081057,0.25160661702915793,0.6161789702877465,0.5489695241668141,0.983657634654998,0.9659844035339864,0.8528701111792222,0.8208317352770893,leaves 127,5,CGD,242.4
winners combined,0.4858681064241731,0.47401386262020595,0.3202431697039778,0.2182830341067415,0.6316645409983782,0.8813902667163854,0.39143782705465147,0.3343017957196536,0.2694331983820381,0.6308616082356525,0.5579487334665906,0.985253802287054,0.9692854425719942,0.8622015232503824,0.8276776225926706,winners combined,1,CGD,397.5
winners combined,0.4523081182378721,0.4852797739127154,0.2846113928212269,0.17611523418297237,0.6073684649821347,0.8611927613669849,0.37561085673091993,0.2934556221948601,0.19618515510593793,0.6109429780503087,0.5428879703310924,0.9810920680090242,0.9603165203060232,0.8452919104460567,0.8116189574160532,winners combined,3,BAH,399.4
winners combined,0.45522526468934366,0.5008947384166955,0.2948545264279369,0.22806484651464984,0.6207102889810808,0.8720378770317943,0.3903860582741561,0.21861909998506032,0.25222013227783463,0.6161503547021283,0.5487658558330771,0.9836255065583639,0.9659357990491872,0.8528463289088571,0.8202889173536626,winners combined,5,CGD,398.4
winners combined,0.4247014860574247,0.5149127235101567,0.2518340939046443,0.18895590685932087,0.5903124059023559,0.8165376711748582,0.36606934022778304,0.19569027917889767,0.2197999816695882,0.5995761494500229,0.5364189930161559,0.9752421339957733,0.9479208667745356,0.785135839694833,0.807686919512436,winners combined,2,DHY210,414.3
winners combined,0.42709961898405674,0.5062999850481953,0.2506983775093341,0.17624118396850458,0.600347836552533,0.8297675137132825,0.36121241228482204,0.19143914491008357,0.22634180974850984,0.6005660229572227,0.5446043988550757,0.9790421510849321,0.9562670143781894,0.8033905391891394,0.8177577859079441,winners combined,0,CEK,441.8
winners combined,0.45570001028639895,0.44687185696323195,0.2504126925241467,0.19184195544335833,0.6040371146042574,0.8436984423058088,0.345633306100922,0.3364167867980576,0.22279850026995054,0.6215114662390644,0.5311558252499716,0.9806598956684159,0.9596053421844862,0.8196531620111773,0.8083044975830918,winners combined,4,CEK,442.2
seedbag x3,0.42709057465341177,0.5068135427488335,0.24967292189345272,0.17681084544179418,0.5998140613731925,0.8297396058628327,0.3609914598230657,0.19254487529792597,0.22542309966579874,0.6006424932460106,0.5447388841546561,0.9790518064037069,0.9562549460605065,0.8033795263233139,0.8182445961557152,seedbag x3,0,CEK,383.9
winners + leaves 127,0.4510413938078483,0.48328023498688366,0.28446331604718395,0.1756813595881033,0.6070208402191241,0.8610716904639836,0.3746034177268584,0.2894618823299413,0.19560506101573677,0.6106271917302795,0.5420018688234678,0.9810733381630957,0.9602685087080146,0.8452495698179934,0.8104684197957582,winners + leaves 127,3,BAH,443.0
winners + leaves 127,0.4249575208776291,0.5143837850412174,0.25218960527033357,0.18924968550559595,0.5899091842836341,0.8165456593624418,0.3660329880982989,0.19652921137273952,0.22028276542478217,0.599700207405069,0.5361545176110946,0.9752404736119276,0.9479264418630837,0.7850883626913779,0.8073053857242992,winners + leaves 127,2,DHY210,446.1
seedbag x3,0.48510400701618933,0.4736882546717615,0.31924288968636316,0.2179344194633512,0.6316240646262379,0.8814911223168205,0.39087836846053436,0.33257302285750445,0.268189971045736,0.6307309662905665,0.5572099005597391,0.9852679710174435,0.9693173882464099,0.86233237098039,0.8266314808897495,seedbag x3,1,CGD,402.1
winners + leaves 127,0.4855580364553389,0.47365002937171846,0.3205474935126684,0.21815780460805512,0.6316710481255452,0.8813774514070041,0.39137546237481485,0.33278496135282526,0.26969549179257357,0.6307254301757839,0.557400938671524,0.9852758706749042,0.9693208672723448,0.8621533018093551,0.8266433702885199,winners + leaves 127,1,CGD,484.5
