model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,variant
asym_up,0.43948383696843185,0.522854169826447,0.2687979787430826,0.226738408938244,0.6332591412358741,0.8548536106280105,0.3777835312975816,0.21933944427154353,0.19900640679289594,0.6297033617215599,0.5485545126678097,0.9801697314300543,0.9586368469581381,0.8406980051579555,0.8178986155212945,7,BAH,asym_up
asym_down,0.43894911427317296,0.5229968636445096,0.26647371763861555,0.22677388507948681,0.6340090444252405,0.8547793632875627,0.3767986404652672,0.2195079702706731,0.1976959493150145,0.6299210877303958,0.5472137761833298,0.9801512323312515,0.958602601008109,0.8405018621459407,0.8177719872814835,7,BAH,asym_down
seen_only,0.43859940538973147,0.5228206246511059,0.2653932529466383,0.22667223001051726,0.6331331111935615,0.8549165313473175,0.37615745483307733,0.21936206636798722,0.19702651856125736,0.6296868303882153,0.5466067077465632,0.9801842337175756,0.9586593002838013,0.8406876505093807,0.817643701427725,7,BAH,seen_only
unseen_only,0.43985331602314787,0.5230456711849979,0.26988336090481935,0.2268399609946577,0.6345157388898071,0.8547131565492742,0.37845895769542653,0.2194950559251763,0.19966019007149288,0.6300324230054721,0.5492330757911073,0.9801358538149909,0.9585801476824456,0.8404999489473297,0.818026901375053,7,BAH,unseen_only
base,0.46527140685463964,0.49253192927459993,0.291052189192826,0.16310235934372097,0.6448181940016886,0.8651370991463045,0.37967120512184893,0.32764536432817803,0.21402465182171337,0.6172283857372641,0.5453868788242359,0.9810532033110467,0.9599979861774024,0.8509962902743445,0.8155427597143103,8,BAH,base
adopted,0.46537212574902254,0.49171395997996853,0.29541172478003436,0.1632409302485176,0.6433860231617097,0.8647448995941294,0.3809096149375208,0.32513447370868126,0.21594162717600948,0.6169269539333497,0.5457565305108657,0.9809755162565493,0.9598523167653816,0.85065181718853,0.8157318656162582,8,BAH,adopted
permember,0.4653589126648485,0.4916957411945619,0.29543051272109394,0.16324333710074795,0.6433810301907281,0.8647434718963167,0.3809091183315892,0.3250750697055013,0.2159421194119981,0.6169249398250389,0.5457401379336814,0.9809752835907581,0.9598518879811432,0.8506509355500529,0.8156956462185645,8,BAH,permember
tau_prot,0.4656481294030565,0.49218275960509106,0.2947414188106821,0.1631771416931108,0.6439393414325465,0.8646634850136011,0.3808778205895333,0.32654638151650184,0.21592289869006,0.6170271324131804,0.5459881594064504,0.980976448661106,0.9598609326400193,0.850529613022828,0.8159320944056704,8,BAH,tau_prot
asym_up,0.4652873129800995,0.4921054909859896,0.29363930490811757,0.16318115807873404,0.6435852963068264,0.864896255415619,0.3804065163981576,0.3262366604162416,0.21487826346712308,0.6169810073180217,0.5457069457792235,0.9810091914972939,0.9599065018283119,0.8508181526635605,0.8155009750915528,8,BAH,asym_up
asym_down,0.4653333448134577,0.49212488704539603,0.2928188256889565,0.16316220134290058,0.6441410527807632,0.8649860107317346,0.3801358581044257,0.32654936507613175,0.21509462804427062,0.617055301445546,0.545356987447386,0.9810204031711572,0.9599438011144721,0.8508301493261383,0.8157736502390157,8,BAH,asym_down
seen_only,0.46458244812036575,0.49171395997996853,0.291052189192826,0.16310235934372097,0.6433860231617097,0.8651481407794108,0.37923909135590317,0.32513447370868126,0.21402465182171337,0.6169186392359538,0.544387161916669,0.9810562411715158,0.9600071809429427,0.8510490680731663,0.8154255840714563,8,BAH,seen_only
unseen_only,0.4660607032300283,0.49253192927459993,0.29541172478003436,0.1632409302485176,0.6448181940016886,0.8647319516946823,0.38134172870346655,0.32764536432817803,0.21594162717600948,0.6172367004346601,0.5467562474184325,0.9809724783960801,0.9598431219998415,0.850591414324345,0.8158490412591124,8,BAH,unseen_only
