model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,ks,kc
x,0.4658023966437127,0.49075991159653903,0.3102226409712464,0.23248243503601,0.6180416954979608,0.8762111135607002,0.3927032353378448,0.23571199509047613,0.26991586000170475,0.6364493111411761,0.552277259291152,0.9841161342431402,0.9665439614509865,0.8564011069569384,0.8242883210099005,6,CGD,1.4,1.2
x,0.4649823302368949,0.48821692867230826,0.3102226409712464,0.23123175786385203,0.6180416954979608,0.8760059854769752,0.3915205218321638,0.2337567021522695,0.26991586000170475,0.6359253406717641,0.5514791237097512,0.9840830354703135,0.9664758354985091,0.8561976264121074,0.823481640987167,6,CGD,1.4,1.3
x,0.4640905805759562,0.48532367834261664,0.3102226409712464,0.22994977171210862,0.6180416954979608,0.8757822721590327,0.390192868554703,0.23167284223395476,0.26991586000170475,0.6353797113266162,0.5506039485136073,0.984047749206266,0.9664030381020235,0.8559720039651768,0.8226234988625265,6,CGD,1.4,1.4
x,0.46747401532217564,0.49475457860271627,0.3120598069828489,0.23318240371416726,0.6180416954979608,0.8752810796746768,0.395145834489592,0.23912640876724414,0.27226651405493313,0.636738790678071,0.5535775426519935,0.9840423696580761,0.9663131819814494,0.8552119888745059,0.8255657519656413,6,CGD,1.6,1.0
x,0.4667899151979644,0.49294161932891106,0.3120598069828489,0.23177169210968548,0.6180416954979608,0.8750922748407028,0.3942364888378383,0.2375132397423474,0.27226651405493313,0.63615258046306,0.5528225842920423,0.984010152001948,0.9662474473653561,0.8550352174569519,0.8247009924321551,6,CGD,1.6,1.1
x,0.4660214559651099,0.49075991159653903,0.3120598069828489,0.2303191504449779,0.6180416954979608,0.8748828555338868,0.3931734255862637,0.23571199509047613,0.27226651405493313,0.6355377839302503,0.5520409647931944,0.983975494439096,0.9661765153061272,0.8548338771902763,0.8238770838455339,6,CGD,1.6,1.2
x,0.46517621645798024,0.48821692867230826,0.3120598069828489,0.2288272764095821,0.6180416954979608,0.8746528861378344,0.39195997035613,0.2337567021522695,0.27226651405493313,0.6348951962748611,0.5512296754490836,0.9839383980950103,0.9661003857909958,0.8546082245146844,0.8230889178059356,6,CGD,1.6,1.3
x,0.46425695783972604,0.48532367834261664,0.3120598069828489,0.2272985410248975,0.6180416954979608,0.8744024328702511,0.39060086767743657,0.23167284223395476,0.27226651405493313,0.6342256070832677,0.5503164476042451,0.9838988643280085,0.966019058753131,0.8543585237173871,0.8221648992168767,6,CGD,1.6,1.4
x,0.4675417111172428,0.49475457860271627,0.3134734118459768,0.23141238269092448,0.6180416954979608,0.8737561932656079,0.39549417719137847,0.23912640876724414,0.274167402740578,0.6360015322091058,0.5531602528760318,0.9838828229887974,0.9658898536026584,0.8534163114816598,0.8248339729998931,6,CGD,1.8,1.0
x,0.4668344545950385,0.49294161932891106,0.3134734118459768,0.22976417390095005,0.6180416954979608,0.8735439679478767,0.3945545613572654,0.2375132397423474,0.274167402740578,0.6353000280892165,0.5524177872127997,0.9838467579516045,0.9658164309883053,0.8532196387726622,0.8240580388905857,6,CGD,1.8,1.1
x,0.4660380317595674,0.49075991159653903,0.3134734118459768,0.22806735994404984,0.6180416954979608,0.8733089741981563,0.393460364402718,0.23571199509047613,0.274167402740578,0.6345637265987691,0.5515778718633769,0.9838079693964346,0.9657372147111091,0.8529962285329389,0.8231101992106099,6,CGD,1.8,1.2
x,0.4651673709250468,0.48821692867230826,0.3134734118459768,0.22632544465452373,0.6180416954979608,0.8730512860983053,0.3922150401870879,0.2337567021522695,0.274167402740578,0.6337937481868327,0.5507831572272187,0.9837664592990352,0.9656522049068356,0.8527463738006897,0.8224234766078602,6,CGD,1.8,1.3
x,0.46421799889493676,0.48532367834261664,0.3134734118459768,0.22454184530881416,0.6180416954979608,0.8727709788120648,0.3908234538452257,0.23167284223395476,0.274167402740578,0.6329911815382443,0.5498154504497278,0.9837222298164569,0.9655614013384581,0.8524703755143616,0.8213957252712251,6,CGD,1.8,1.4
x,0.46521399893916454,0.5059639710011643,0.30769672459518277,0.24040105286840327,0.6317979148914914,0.8802543687795124,0.39989344179771674,0.2305926560494694,0.2640297738453029,0.6235451617647663,0.5582152515680345,0.984818979984673,0.9685246079589583,0.8610863713120018,0.8302810129006988,5,CGD,1.0,1.0
x,0.4647094941782334,0.5044979065880335,0.30769672459518277,0.23961508751916868,0.6317979148914914,0.8801428563907685,0.399193668067189,0.2293152776670389,0.2640297738453029,0.6233184444169614,0.5576330227823574,0.9848032779689454,0.9684905738429646,0.8609737446199297,0.8296021867899843,5,CGD,1.0,1.1
x,0.46411943084959667,0.5026511371248418,0.30769672459518277,0.23881071253554648,0.6317979148914914,0.8800154289757488,0.3983368874586144,0.22780272514369268,0.2640297738453029,0.6230845557268445,0.5571433563861948,0.9847858863334255,0.9684526837133793,0.8608418303727594,0.8293393471121342,5,CGD,1.0,1.2
x,0.4634376358455989,0.5004274753071383,0.30769672459518277,0.23798844137845623,0.6317979148914914,0.8798721325049541,0.39732471616032433,0.22609455195758563,0.2640297738453029,0.6228436693306305,0.5564559642177248,0.984766803945674,0.9684109375327948,0.8606908135187613,0.8285992066735901,5,CGD,1.0,1.3
x,0.4626796325430376,0.4978345677196417,0.30769672459518277,0.23714879500022543,0.6317979148914914,0.8797130139673186,0.39616032782487093,0.2242215858781662,0.2640297738453029,0.6225959615854473,0.555741593802351,0.9847460297609038,0.9683653352286241,0.860520884371551,0.8279322018540725,5,CGD,1.0,1.4
x,0.4659499849793256,0.5059639710011643,0.310277974199922,0.23881071253554648,0.6317979148914914,0.879475506415609,0.40070711995897207,0.2305926560494694,0.26766163581897673,0.6230845557268445,0.5583757952017417,0.9847436746343821,0.9683127793768757,0.8601690297518352,0.8303307244679158,5,CGD,1.2,1.0
x,0.46542884498255543,0.5044979065880335,0.310277974199922,0.23782188551618236,0.6317979148914914,0.8793480004331597,0.399980351886682,0.2293152776670389,0.26766163581897673,0.6227946680200356,0.5577861485009256,0.9847255574822755,0.968273625903087,0.8600423890072917,0.8296673292044302,5,CGD,1.2,1.1
x,0.46482102248063006,0.5026511371248418,0.310277974199922,0.2368081929766661,0.6317979148914914,0.8792030720782928,0.3990957178662873,0.22780272514369268,0.26766163581897673,0.6224950093687478,0.5572821093798197,0.9847055760056319,0.9682302127847233,0.8598949218409849,0.8293930495940539,5,CGD,1.2,1.2
x,0.46411968620390986,0.5004274753071383,0.310277974199922,0.23577055372137196,0.6317979148914914,0.8790407729911742,0.3980548880242522,0.22609455195758563,0.26766163581897673,0.6221858901695456,0.5565596605468983,0.9846837289029957,0.9681825399780377,0.8597268363528842,0.8285891932794847,5,CGD,1.2,1.3
x,0.46334168049040897,0.4978345677196417,0.310277974199922,0.23470989464737094,0.6317979148914914,0.8788611564304989,0.39686109003127396,0.2242215858781662,0.26766163581897673,0.6218676198082336,0.5558154075247742,0.9846600150166848,0.9681306074850841,0.8595383473125119,0.827875366909109,5,CGD,1.2,1.4
x,0.46644155524523967,0.5059639710011643,0.3123329219195664,0.23714879500022543,0.6317979148914914,0.8784360891437368,0.4013022205245849,0.2305926560494694,0.27067603164492693,0.6225959615854473,0.5583089717584407,0.9846402179260164,0.9680241436097673,0.8589444652941628,0.8300841524873118,5,CGD,1.4,1.0
x,0.46590143038522647,0.5044979065880335,0.3123329219195664,0.23594511762622028,0.6317979148914914,0.8782898887628148,0.40054686280351,0.2293152776670389,0.27067603164492693,0.6222380541918424,0.5576933930041706,0.9846193519940137,0.9679791002519252,0.8588015800166613,0.8293821730670188,5,CGD,1.4,1.1
x,0.4652731162832843,0.5026511371248418,0.3123329219195664,0.23470989464737094,0.6317979148914914,0.8781244902690681,0.3996327502306303,0.22780272514369268,0.27067603164492693,0.6218676198082336,0.5571503466653173,0.9845964148808408,0.9679293202027311,0.8586360732640931,0.8290359401865668,5,CGD,1.4,1.2
x,0.46455132066776395,0.5004274753071383,0.3123329219195664,0.23344461052988033,0.6317979148914914,0.8779399524670509,0.39856162820374513,0.22609455195758563,0.27067603164492693,0.6214851523035856,0.5564058234511274,0.9845714051200795,0.9678748034522264,0.8584481815269397,0.8282044164114063,5,CGD,1.4,1.3
x,0.46375188874161405,0.4978345677196417,0.3123329219195664,0.23215074708320566,0.6317979148914914,0.8777363359323639,0.3973367982344828,0.2242215858781662,0.27067603164492693,0.6210911418780698,0.555635686081898,0.9845443214132982,0.9678155500280943,0.8582381486776541,0.8274569952983365,5,CGD,1.4,1.4
x,0.4667051360074318,0.5059639710011643,0.31392266026550364,0.23541951431271194,0.6317979148914914,0.8771405421767905,0.4017035708756885,0.2305926560494694,0.27313475283326627,0.6220808018778048,0.5579514577764803,0.9845092825487981,0.9676587005975223,0.8574297060438499,0.8293699249506573,5,CGD,1.6,1.0
x,0.46614476309015884,0.5044979065880335,0.31392266026550364,0.23399046061140158,0.6317979148914914,0.8769730060186216,0.40091822283854983,0.2293152776670389,0.27313475283326627,0.6216505086607438,0.557310984213233,0.9844853335858339,0.9676069967233335,0.857268585453106,0.8286309143602867,5,CGD,1.6,1.1
x,0.4654947411764766,0.5026511371248418,0.31392266026550364,0.2325232531087015,0.6317979148914914,0.8767842343349972,0.3999732406118987,0.22780272514369268,0.27313475283326627,0.621204866171243,0.5567320388797287,0.9844590744921813,0.9675500058538573,0.8570828166648748,0.8282153454275458,5,CGD,1.6,1.2
x,0.4647518074612917,0.5004274753071383,0.31392266026550364,0.2310201003586682,0.6317979148914914,0.87657429372296,0.3988704659462609,0.22609455195758563,0.27313475283326627,0.6207446005940809,0.5559802242511191,0.9844305035855451,0.9674877278751991,0.8568726689567985,0.827400425353001,5,CGD,1.6,1.3
x,0.4639291000312538,0.4978345677196417,0.31392266026550364,0.22948320287881505,0.6317979148914914,0.876343253052609,0.3976132959901134,0.2242215858781662,0.27313475283326627,0.6202704295197519,0.5551762945788383,0.9843996194302723,0.9674201628025805,0.8566384203190643,0.8266086297203178,5,CGD,1.6,1.4
x,0.466771081885575,0.5059639710011643,0.31510190482324124,0.23362715091493358,0.6317979148914914,0.8755933754981003,0.4019334742419061,0.2305926560494694,0.2751002054273703,0.6215405091323865,0.5575283003374341,0.9843515424941546,0.9672164503966828,0.8556421179247791,0.8287560751004739,5,CGD,1.8,1.0
x,0.4661892454197287,0.5044979065880335,0.31510190482324124,0.23196366320833037,0.6317979148914914,0.8754019226329706,0.40111693060406317,0.2293152776670389,0.2751002054273703,0.6210339408418732,0.556862750780993,0.9843241758986349,0.967157315522487,0.8554610112167784,0.8279903975889442,5,CGD,1.8,1.1
x,0.4655172966486327,0.5026511371248418,0.31510190482324124,0.2302557330345236,0.6317979148914914,0.8751869398869242,0.40013991595822895,0.22780272514369268,0.2751002054273703,0.6205092087548374,0.5562684538398851,0.9842942280290662,0.9670922698363094,0.8552530207444885,0.8275659278763183,5,CGD,1.8,1.2
x,0.46475092068162954,0.5004274753071383,0.31510190482324124,0.22850647844171393,0.6317979148914914,0.8749485039522872,0.3990043930792497,0.22609455195758563,0.2751002054273703,0.6199673267533095,0.5554887493807507,0.9842616971262617,0.9670213133295099,0.8550184548117712,0.8267353851941713,5,CGD,1.8,1.3
x,0.4639061329056201,0.4978345677196417,0.31510190482324124,0.22671898016651457,0.6317979148914914,0.8746866934379461,0.3977138762443589,0.2242215858781662,0.2751002054273703,0.619409288990939,0.5547007599347971,0.9842265816573225,0.9669444459258022,0.8547576312432535,0.826037912335513,5,CGD,1.8,1.4
x,0.49702084964279664,0.4854534063522417,0.33474289788794803,0.22314569888884242,0.6427077981370866,0.8894377304496612,0.40306119343259517,0.35057237067994296,0.2827036822241921,0.6331416326147119,0.5679726270483474,0.98643409627939,0.9718045070770279,0.8706660677164096,0.8366411204866,1,CGD,1.0,1.0
x,0.4970517313571963,0.4855571600176866,0.33474289788794803,0.22285542218495594,0.6427077981370866,0.8894005379934011,0.40306554214992535,0.35086183759424555,0.2827036822241921,0.6330351708760777,0.5677723433947889,0.986429713478471,0.9717923203819014,0.870651739769038,0.8363423893921634,1,CGD,1.0,1.1
