model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,beta,tau
x,0.47367776104769355,0.49933904717197497,0.3225644160960588,0.24422324463120113,0.6189123626011899,0.8815437864226333,0.4027186880460452,0.24844117532488683,0.2746221898437958,0.6417621914262979,0.5580087915057849,0.9850255150304915,0.9683543821560034,0.8614808666714775,0.8282919887704067,6,CGD,0.4,1.5
x,0.4734954252280515,0.4994646451514255,0.3216402643697418,0.24414981311465062,0.6186394549186376,0.8815731907533378,0.40236715226293407,0.24887748148498717,0.2737999231848151,0.6416692431244579,0.5577318753048818,0.985010502436322,0.9683334136850942,0.8615613173136504,0.8281157287210936,6,CGD,0.5,2.0
x,0.46139843772806566,0.4968370223496724,0.28499789734955244,0.17749580887164185,0.6233955180721392,0.8666105713930918,0.38195017595170244,0.314279628216718,0.2028856449985703,0.6175764825084625,0.5479615313523539,0.9814823490774602,0.9611747881539886,0.8517732813881972,0.8167770069844755,3,BAH,0.0,1.0
x,0.4616426273598487,0.49655518516058716,0.28701346539320216,0.17755625636136457,0.6232351856820559,0.8665144280855435,0.3825486522817491,0.31373686845214227,0.20392539835275875,0.6175579407686123,0.5482866246892252,0.9814588073310723,0.9611365211801338,0.8517198632350249,0.8170517079857659,3,BAH,0.1,1.0
x,0.461722706374226,0.4963920666993382,0.28796588730523914,0.1775860896603307,0.6230065063282872,0.8664454874315813,0.3828093470843277,0.3134084361770769,0.2044004321572539,0.61749645282336,0.5483970633525127,0.9814431171145828,0.9611093780251567,0.8516674325569912,0.8170999111086658,3,BAH,0.15,1.0
x,0.4617765181186676,0.496214684986231,0.28888321648209203,0.1776156630050043,0.6226906599951474,0.8663627458211753,0.3830459475048822,0.31304112630861375,0.20484578648606472,0.6174032207402205,0.5484955489050836,0.981424844470329,0.9610768949920216,0.8515982725860647,0.8172682075300758,3,BAH,0.2,1.0
x,0.4618039478922091,0.49602344848277335,0.2897667699075979,0.17764497413484664,0.6222955478491972,0.866266291212671,0.38325958133707555,0.3126344751297745,0.20526176094891663,0.6172802997145161,0.5485703425643234,0.9814040128483101,0.9610390721957501,0.8515127084088997,0.8173588554948877,3,BAH,0.25,1.0
x,0.4618046030328645,0.4958187437424835,0.2906178278180775,0.177674028749858,0.6218283622105683,0.8661562106387154,0.3834513118997164,0.3121881004922355,0.20564875798987578,0.6171295696792463,0.5486040853169099,0.9813806460163519,0.9609959096054443,0.8514110664120421,0.8174109538614273,3,BAH,0.3,1.0
x,0.46178283538562487,0.49643331767136367,0.2881585446757225,0.17757302119230667,0.6228606296077611,0.8664398667012444,0.38288555554150033,0.3134928254124172,0.20454364393265934,0.6174552403864091,0.548413105046892,0.9814398328282176,0.9611030822881113,0.8516671530408971,0.817053031311266,3,BAH,0.2,1.25
x,0.46186443859053017,0.4961795807569345,0.28957765646980577,0.17761086129409231,0.6221470808098271,0.8662946245848483,0.38324578822387206,0.31297091581644393,0.20523733199690397,0.6172390257996206,0.5485702894992158,0.981406480697425,0.9610424897345657,0.8515426443143468,0.8172964226221406,3,BAH,0.3,1.25
x,0.46174879673843194,0.4965538225842313,0.28759155402096775,0.1775495838667082,0.6229947839295484,0.8664874892880444,0.38273958994865365,0.3137288729361163,0.20427277754180223,0.6174924354357183,0.5483365550900837,0.9814500976410887,0.961120656534843,0.8517065153274572,0.8169955229622494,3,BAH,0.2,1.5
x,0.4618425680715622,0.49637903958452245,0.2887624277478631,0.17757607203895825,0.6224088791037329,0.8663814273849175,0.38305132813166604,0.31337669948000896,0.20486262836925645,0.6173201665905075,0.5484713666551678,0.9814243913521732,0.9610742254057016,0.8516206423186323,0.8170978069441176,3,BAH,0.3,1.5
