model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,beta,tau
b0.3_t1.0,0.4618046030328645,0.4958187437424835,0.2906178278180775,0.177674028749858,0.6218283622105683,0.8661562106387154,0.3834513118997164,0.3121881004922355,0.20564875798987578,0.6171295696792463,0.5486040853169099,0.9813806460163519,0.9609959096054443,0.8514110664120421,0.8174109538614273,3,BAH,0.3,1.0
b0.2_t1.5,0.46174879673843194,0.4965538225842313,0.28759155402096775,0.1775495838667082,0.6229947839295484,0.8664874892880444,0.38273958994865365,0.3137288729361163,0.20427277754180223,0.6174924354357183,0.5483365550900837,0.9814500976410887,0.961120656534843,0.8517065153274572,0.8169955229622494,3,BAH,0.2,1.5
b0.4_t1.5,0.4618854601315678,0.49618329338077727,0.2898560832248246,0.17760229655187326,0.6216135261084104,0.866246215177864,0.38331355905776826,0.31297269700946423,0.20538467461566823,0.6170734872206476,0.5485800856892331,0.9813924234265394,0.9610148841358613,0.8515017712199641,0.8173080070680713,3,BAH,0.4,1.5
b0.0_t1.0,0.43873216319515973,0.5230456711849979,0.2653932529466383,0.22667223001051726,0.6345157388898071,0.8549012399280121,0.3763323924443238,0.2194950559251763,0.19702651856125736,0.6300045140757723,0.5472810158722473,0.9801766901002269,0.9586428171385515,0.8406552024398184,0.8176202284831158,7,BAH,0.0,1.0
b0.1_t0.5,0.4394140389166974,0.5229127229165885,0.2684783936248665,0.22693613031196755,0.6338197151734708,0.8547594170869948,0.37771549892117584,0.21957147348432957,0.19858974040423633,0.6299227731314399,0.5481752135629464,0.980154590264972,0.9586168929633434,0.8405337448242711,0.8179813755969328,7,BAH,0.1,0.5
b0.2_t0.5,0.43981168876626703,0.5225735463919664,0.27132215610598626,0.22719226480806953,0.6326161480283409,0.8544827574847857,0.3788772745436435,0.21901546715477666,0.19994324146753922,0.6296204988991342,0.5488405403804475,0.9801112391446929,0.9585441190737636,0.8402469699680967,0.8182997062533607,7,BAH,0.2,0.5
b0.1_t1.0,0.43922758055529904,0.5229969478320285,0.26734387403034415,0.22676067492275212,0.6343252933946715,0.8548759647158825,0.3772277406654987,0.21955848027613664,0.19818411806131367,0.630024609686084,0.547889436192988,0.9801723898653211,0.9586449959989038,0.840660711586003,0.8178087555517817,7,BAH,0.1,1.0
b0.2_t1.0,0.43959618478585294,0.5228750914813479,0.26915569822426444,0.2268472848709728,0.6337207583476845,0.8547833292821574,0.37800334862118873,0.2194331886599798,0.19921791065013236,0.629890350457706,0.5483885373266245,0.980154916785071,0.958619224633238,0.840585030249543,0.818004812375667,7,BAH,0.2,1.0
b0.3_t1.0,0.43984259086171296,0.5226843501470575,0.2708389955254959,0.2269320629807883,0.6327718346247788,0.8546243634274515,0.37867039110569095,0.21912734793182176,0.20012933253125745,0.629620245882632,0.5487351943784174,0.9801245817353474,0.9585655032097927,0.8404319628072184,0.8181647109467661,7,BAH,0.3,1.0
b0.2_t1.5,0.4393763449007435,0.5229758872411959,0.2679854789512527,0.22675134505897424,0.634039813240282,0.8548670551150745,0.37750054325149746,0.2195435648640486,0.19859164518963754,0.6299522425292414,0.5481106360238576,0.9801710479489539,0.9586423556235856,0.8406655186751634,0.8178862104729514,7,BAH,0.2,1.5
b0.4_t1.5,0.43974758205671627,0.5227880644390445,0.2702560189354158,0.226828302383095,0.6324346903836041,0.8546840130989938,0.3783974244360895,0.21929287514482546,0.19986063711713437,0.6294990323769217,0.5486163527562189,0.9801312631226743,0.9585711465132548,0.8405073739930046,0.818077999767713,7,BAH,0.4,1.5
b0.0_t1.0,0.46527140685463964,0.49253192927459993,0.291052189192826,0.16310235934372097,0.6448181940016886,0.8651370991463045,0.37967120512184893,0.32764536432817803,0.21402465182171337,0.6172283857372641,0.5453868788242359,0.9810532033110467,0.9599979861774024,0.8509962902743445,0.8155427597143103,8,BAH,0.0,1.0
