model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,variant
h0.3,0.4737768683188501,0.49933132110042583,0.3223956143266347,0.2442393211335083,0.6195567164833067,0.8816740416383473,0.40269041380981696,0.24838548381960776,0.2749450295858142,0.6419749263384711,0.5581172244758982,0.9850529787162128,0.9684256038854665,0.86161649265198,0.8283261150412184,6,CGD,h0.3
g1.05+h0.3,0.4735074893510296,0.49805105166751257,0.3291306532020898,0.24522670385581788,0.6160549876502028,0.8806115384332425,0.40481102100925137,0.24320573553672062,0.27752977020773184,0.6409825202327566,0.5587414647980429,0.9849235268239831,0.9680325141880906,0.8602613128639993,0.8289893293804369,6,CGD,g1.05+h0.3
g1.10+h0.3,0.47196348387488096,0.4960943670801078,0.33508252884937667,0.24625142342271347,0.6110764014804785,0.8786439335732676,0.4062515122878342,0.23531899285526886,0.2788207875575056,0.6391311097317551,0.5586150406507696,0.9846547599482178,0.9672416763300768,0.8579882487548802,0.8293413785839946,6,CGD,g1.10+h0.3
base,0.46139843772806566,0.4968370223496724,0.28499789734955244,0.17749580887164185,0.6233955180721392,0.8666105713930918,0.38195017595170244,0.314279628216718,0.2028856449985703,0.6175764825084625,0.5479615313523539,0.9814823490774602,0.9611747881539886,0.8517732813881972,0.8167770069844755,3,BAH,base
g1.05,0.46119192392668285,0.4952419255164725,0.2900195886026981,0.1777489079694731,0.6221378240419411,0.866138336101658,0.38301576431635986,0.3104862024219937,0.20483845617114127,0.6171904952842842,0.5485266876041156,0.9813961374801787,0.9610194605071506,0.8513836635915911,0.8172339519376798,3,BAH,g1.05
g1.10,0.46026969399564194,0.49311688466907455,0.2949812623153073,0.17800999512940435,0.6197168984300363,0.8652963348660255,0.38375999110329545,0.3045414818251088,0.20650239907968929,0.6162779314096267,0.548677198493813,0.9812464637665885,0.9607327373671658,0.8505766253523546,0.8176094946103355,3,BAH,g1.10
g1.15,0.458406774873283,0.4904057785852429,0.29978804134186393,0.17827717139033014,0.6161053710191677,0.863949478272553,0.3841225195848473,0.2957781317513829,0.20771375379991028,0.6147379150724519,0.5482816141011352,0.9810092743588371,0.960257676542257,0.8492241130284768,0.8176368770691855,3,BAH,g1.15
g1.20,0.4553870340209123,0.4870543820694627,0.3043420846075911,0.17854775988411214,0.6112969314667749,0.8619203063760759,0.3840439384273174,0.2835904412850135,0.2083183800078102,0.6124438991233554,0.5473166793593495,0.9806532709295614,0.9595144922887474,0.8471787931164151,0.8175338859909878,3,BAH,g1.20
h0.3,0.46186443859053017,0.4961795807569345,0.28957765646980577,0.17761086129409231,0.6221470808098271,0.8662946245848483,0.38324578822387206,0.31297091581644393,0.20523733199690397,0.6172390257996206,0.5485702894992158,0.981406480697425,0.9610424897345657,0.8515426443143468,0.8172964226221406,3,BAH,h0.3
g1.05+h0.3,0.46102622822606,0.494015832803196,0.2949987388578765,0.17790013042994116,0.6189789184362541,0.8653220374422349,0.3840965831678081,0.30744759388691584,0.207042169254481,0.6160800840986417,0.548634278150348,0.9812228054371934,0.9606893413469904,0.8506118364658996,0.8175639192315086,3,BAH,g1.05+h0.3
