model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,k
k=2.4,0.45792876910397884,0.49334434637215757,0.28604571275541874,0.17042625501909853,0.6205114612156158,0.857994634071836,0.37959798049227783,0.3027943242414478,0.21143375126135325,0.6130853327902713,0.5455239757390975,0.9804241788389749,0.9588415023002238,0.8412091598182752,0.8131167674833112,3,BAH,2.4
k=3.0,0.4568118253914257,0.49334434637215757,0.2852157343198985,0.166702262961035,0.6205114612156158,0.8521254782364471,0.37875639755611173,0.3027943242414478,0.21421194131353344,0.6109963304032285,0.543934884075784,0.9796847174233528,0.9572086687225505,0.834293124689137,0.8111839620658342,3,BAH,3.0
k=0.8,0.46421506344573343,0.5059639710011643,0.3045216866792019,0.24191573771333166,0.6317979148914914,0.8807684203517372,0.39883383699133157,0.2305926560494694,0.2597259119291447,0.6239763996616061,0.5578313313133925,0.9848654661549399,0.9686596292878403,0.861680133914091,0.8300555282268293,5,CGD,0.8
k=1.0,0.46521399893916454,0.5059639710011643,0.30769672459518277,0.24040105286840327,0.6317979148914914,0.8802543687795124,0.39989344179771674,0.2305926560494694,0.2640297738453029,0.6235451617647663,0.5582152515680345,0.984818979984673,0.9685246079589583,0.8610863713120018,0.8302810129006988,5,CGD,1.0
k=1.2,0.4659499849793256,0.5059639710011643,0.310277974199922,0.23881071253554648,0.6317979148914914,0.879475506415609,0.40070711995897207,0.2305926560494694,0.26766163581897673,0.6230845557268445,0.5583757952017417,0.9847436746343821,0.9683127793768757,0.8601690297518352,0.8303307244679158,5,CGD,1.2
k=1.4,0.46644155524523967,0.5059639710011643,0.3123329219195664,0.23714879500022543,0.6317979148914914,0.8784360891437368,0.4013022205245849,0.2305926560494694,0.27067603164492693,0.6225959615854473,0.5583089717584407,0.9846402179260164,0.9680241436097673,0.8589444652941628,0.8300841524873118,5,CGD,1.4
k=1.6,0.4667051360074318,0.5059639710011643,0.31392266026550364,0.23541951431271194,0.6317979148914914,0.8771405421767905,0.4017035708756885,0.2305926560494694,0.27313475283326627,0.6220808018778048,0.5579514577764803,0.9845092825487981,0.9676587005975223,0.8574297060438499,0.8293699249506573,5,CGD,1.6
k=1.8,0.466771081885575,0.5059639710011643,0.31510190482324124,0.23362715091493358,0.6317979148914914,0.8755933754981003,0.4019334742419061,0.2305926560494694,0.2751002054273703,0.6215405091323865,0.5575283003374341,0.9843515424941546,0.9672164503966828,0.8556421179247791,0.8287560751004739,5,CGD,1.8
k=2.0,0.4666579109716636,0.5059639710011643,0.3159193847687557,0.23177603208759734,0.6317979148914914,0.8737991151902098,0.40201186221694507,0.2305926560494694,0.2766313792595539,0.6209765161282699,0.5570532740950724,0.9841676699463354,0.9666973927538354,0.8535991348436271,0.8282589193636909,5,CGD,2.0
k=2.4,0.4659457922974561,0.5059639710011643,0.3166372727568678,0.22791474548751675,0.6317979148914914,0.8694871898648175,0.4017832026949215,0.2305926560494694,0.2785994883193613,0.6197830607628061,0.5557163740143074,0.9837241930416435,0.9654288555735079,0.848815819539253,0.8267068227283516,5,CGD,2.4
k=3.0,0.4638848303580083,0.5059639710011643,0.31593432740825755,0.2217880733557816,0.6317979148914914,0.8612750749428082,0.40068872261342187,0.2305926560494694,0.27944788827663136,0.6178494992146804,0.553291518588059,0.982879438436392,0.9629499962620268,0.8401448125957742,0.8242840493272618,5,CGD,3.0
k=0.8,0.4650624779286635,0.49475457860271627,0.30166428064073264,0.23952197494822974,0.6180416954979608,0.878936375170511,0.39173313527831666,0.23912640876724414,0.25971531381371493,0.6392134767800539,0.5530445376156995,0.9844132476950566,0.9673033801308648,0.8595773908303556,0.8255943093600431,6,CGD,0.8
k=1.0,0.4660153807812986,0.49475457860271627,0.30507890689394146,0.23805758632414073,0.6180416954979608,0.8783967123674319,0.3929328710747256,0.23912640876724414,0.2636823942155461,0.6386689694472927,0.5534832599568691,0.9843617800607899,0.9671612979987686,0.8589375744192287,0.8258274538876406,6,CGD,1.0
k=1.2,0.4667263113989237,0.49475457860271627,0.3079131322497749,0.23650980249206952,0.6180416954979608,0.8776051875270178,0.393886327999319,0.23912640876724414,0.2670693751717619,0.6380740390228506,0.5537426240720823,0.9842824292017731,0.9669489042568761,0.857987432009316,0.8260252569081722,6,CGD,1.2
k=1.4,0.4672065391302043,0.49475457860271627,0.3102226409712464,0.23488316301337098,0.6180416954979608,0.8765653830427323,0.3946166931218138,0.23912640876724414,0.26991586000170475,0.6374301439511462,0.5537564218460005,0.9841757661879442,0.9666661990280331,0.856740720857177,0.8258967008653458,6,CGD,1.4
k=1.6,0.46747401532217564,0.49475457860271627,0.3120598069828489,0.23318240371416726,0.6180416954979608,0.8752810796746768,0.395145834489592,0.23912640876724414,0.27226651405493313,0.636738790678071,0.5535775426519935,0.9840423696580761,0.9663131819814494,0.8552119888745059,0.8255657519656413,6,CGD,1.6
k=1.8,0.4675417111172428,0.49475457860271627,0.3134734118459768,0.23141238269092448,0.6180416954979608,0.8737561932656079,0.39549417719137847,0.23912640876724414,0.274167402740578,0.6360015322091058,0.5531602528760318,0.9838828229887974,0.9658898536026584,0.8534163114816598,0.8248339729998931,6,CGD,1.8
k=2.0,0.4674318217702681,0.49475457860271627,0.31450854822821855,0.22957797479390432,0.6180416954979608,0.8719947100254455,0.39568065071601116,0.23912640876724414,0.2756635695218432,0.6352199139931439,0.5526546005808859,0.9836977107215226,0.965396213370684,0.8513690532808804,0.8241250923776126,6,CGD,2.0
k=2.4,0.46673606869639417,0.49475457860271627,0.3156053819617282,0.22573537409162958,0.6180416954979608,0.867777984786855,0.3956362200742163,0.23912640876724414,0.27760904024087424,0.6335297932995198,0.5514269517778697,0.9832531225933017,0.9641979979327077,0.8465815842778306,0.8227218714732525,6,CGD,2.4
k=3.0,0.4646747048401855,0.49475457860271627,0.3153314134553207,0.21960677865856956,0.6180416954979608,0.8597774730028437,0.3947438659881627,0.23912640876724414,0.2784510369156126,0.6306997433667862,0.5489556053865221,0.9824089752433144,0.9618733386639228,0.8378952345469405,0.8199922398149966,6,CGD,3.0
